Resource ID,Ethereum Token Address,Ethereum Handler Address,Ethereum Token Name,Ethereum Token Symbol,Ethereum Token Decimals,Avalanche Token Address,Avalanche Handler Address,Avalanche Token Name,Avalanche Token Symbol,Avalanche Token Decimals
000000000000000000000069a95185ee2a045cdc4bcd1b1df10710395e4e2301,0x69A95185ee2a045CDC4bCd1b1Df10710395e4e23,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,$Poolz Finance,POOLZ,18,0x96CE026f10890f4836937e6FDe75f13252fdf414,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,$Poolz Finance,POOLZ,18
00000000000000000000009d47894f8becb68b9cf3428d256311affe8b068b01,0x9D47894f8BECB68B9cF3428d256311Affe8B068B,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,$ROPE,$ROPE,18,0xa99DFda608D5c9E7f091e857EfB256cEDA48D57e,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,$ROPE,$ROPE,18
0000000000000000000000e41d2489571d322189246dafa5ebde1f4699f49801,0xE41d2489571d322189246DaFA5ebDe1F4699F498,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,0x Protocol Token,ZRX,18,0xC8E94215b75F5B9c3b5fB041eC3A97B7D17a37Ff,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,0x Protocol Token,ZRX,18
0000000000000000000000035df12e0f3ac6671126525f1015e47d79dfeddf01,0x035dF12E0F3ac6671126525f1015E47D79dFEDDF,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,0xMonero,0xMR,18,0xC309fd43f845A46AA2A4C75459b076543C6E9F4a,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,0xMonero,0xMR,18
0000000000000000000000111111111117dc0aa78b770fa6a738034120c30201,0x111111111117dC0aa78b770fA6A738034120C302,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,1INCH Token,1INCH,18,0xE54EB2C3009Fa411BF24fB017F9725b973CE36F0,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,1INCH Token,1INCH,18
00000000000000000000008888801af4d980682e47f1a9036e589479e835c501,0x8888801aF4d980682e47f1A9036e589479e835C5,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,88mph.app,MPH,18,0xa477b670C46fe58cF48708D9519a5E8875a48062,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,88mph.app,MPH,18
00000000000000000000007fc66500c84a76ad7e9c93437bfc5ac33e2ddae901,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,Aave Token,AAVE,18,0x8cE2Dee54bB9921a2AE0A63dBb2DF8eD88B91dD9,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,Aave Token,AAVE,18
00000000000000000000000e8d6b471e332f140e7d9dbb99e5e3822f728da601,0x0E8d6b471e332F140e7d9dbB99E5E3822F728DA6,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,ABYSS,ABYSS,18,0x2C4Ac7ABe6D09F81a775DE153E5593c8C56884eb,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,ABYSS,ABYSS,18
00000000000000000000004b3a0c6d668b43f3f07904e124328659b90bb4ca01,0x4B3a0c6d668B43F3f07904E124328659b90Bb4Ca,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,AceD,AceD,18,0x0A15ed1B1F1BE0b2024b4d22B4f19Ebb99A6fd11,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,AceD,AceD,18
0000000000000000000000ade00c28244d5ce17d72e40330b1c318cd12b7c301,0xADE00C28244d5CE17D72E40330B1c318cD12B7c3,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,AdEx Network,ADX,18,0xEdd6ce14626B228D90aF0fB126a432e4b2174844,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,AdEx Network,ADX,18
